;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pt. Triputra Textile Industry (Spinning Division);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yarn Testing Data Base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tangall;Bulan;Tahun;Count Description;Nom. Count;Lot;SPK;Yarn Type;Slub Code;Supplier;Mills Unit;Process Step;Test Type;MC. No.;Side;Sliver / Roving (Ne);Total Draft;TM α;TPI;TPM;Actual Twist;Rotor /Spindle Speed;Mean Ne;Min Ne;Max Ne;CV% Count;Mean Strength CN;Min Strength CN;Max Strength CN;CV% Strength;Tenacity (CN/Tex);Elongation%;CLSP;U%;CV b;CVm;CVm 1m;CVm 3m;CVm 10m;Thin-50%;"Thick
+50%";"Neps
+200%";"Neps
+280%";IPIs;OE IPI;Thin-30%;Thin-40%;"Thick
+35%";"Neps
+140%";Short IPI;Hairiness;Sh;S1u + S2u;S3u;DR 1.5m 5% (%);Remarks;;Count Description;Lot;SPK;Yarn Type;Supplier;Mills Unit;Process Step;Test Type;Side;;;;
;07-Aug-25;August;2025;E 16s 4600,0 LL28 D2;16;4600,0;LL28 D2;Normal;-;SSM;OE;Rotor;Routine;1;kanan;0,100;160,00;3,01;12,04;474;;60000;12,25;12,25;12,25;1,00;650;3074;3074;2,75;13,48;19,67;2148;9,37;0,6;11,90;1,95;1,95;1,95;10;16;38;5;64;31;720;33;223;474;730;7,46;1,62;2;2;19,17;;;3;103;202;301;401;501;601;701;I1;;;;
;07-Aug-25;August;2026;RSM 10,7 1000,0 LL23 D2;10;1000,0;LL28 D2;Normal;-;SSM;OE;Rotor;Routine;1;Kiri;0,100;100,00;3,15;9,96;392;;63000;14,36;14,36;14,36;0,56;650;3019;3202;1,29;15,80;19,89;2517;9,46;1,1;11,95;2,13;2,13;2,13;0;22;69;12;92;35;765;23;238;551;812;6,67;1,52;2;2;20,43;;;4;101;202;301;401;501;601;701;I2;;;;
;07-Aug-25;August;2026;RSM 10,7 1000,0 LL23 D2;10;1000,0;LL28 D2;Normal;-;SSM;OE;Rotor;Routine;1;kanan;0,100;100,00;3,49;11,04;435;;68000;16,00;16,00;16,00;1,00;650;2988;2988;2,75;17,61;19,12;2805;9,47;0,6;11,94;2,17;2,17;2,17;1;19;71;11;91;31;788;24;238;538;800;6,32;1,44;1;1;18,80;;;4;101;202;301;401;501;601;701;I1;;;;
;07-Aug-25;August;2026;RS 10,7 4006,0 NL04 AX D2;10;4006,0;LL28 D2;Normal;-;SSM;OE;Rotor;Routine;1;Kiri;0,100;100,00;3,61;11,40;449;;75602;20,37;20,37;20,37;0,83;650;2775;3059;1,71;22,41;18,50;3571;10,02;1,0;12,71;2,25;2,25;2,25;1;33;124;23;159;58;1292;74;372;940;1387;5,61;1,31;1;1;21,32;;;5;102;202;301;401;501;601;701;I2;;;;
;07-Aug-25;August;2026;RS 10,7 4006,0 NL04 AX D2;10;4006,0;LL28 D2;Normal;-;SSM;OE;Rotor;Routine;1;kanan;0,100;100,00;3,81;12,05;474;;78000;24,28;24,28;24,28;0,90;650;2613;2906;2,08;26,72;17,70;4257;10,37;1,0;13,13;2,45;2,45;2,45;2;45;172;72;219;119;1657;115;405;1233;1752;23,52;1,22;1;1;22,86;;;5;102;202;301;401;501;601;701;I1;;;;
;07-Aug-25;August;2026;RS 10,8 4006,0 NL04 AX D2;10;4006,0;LL28 D2;Fancy;-;SSM;OE;Rotor;Routine;1;Kiri;0,100;100,00;3,91;12,37;487;;78000;26,12;26,12;26,12;0,63;650;2586;2586;1,23;28,74;16,55;4579;10,32;0,7;13,08;2,18;2,18;2,18;5;60;239;58;304;123;1620;108;391;1459;1958;5,23;1,22;1;1;17,86;;;6;102;202;302;401;501;601;701;I2;;;;
;07-Aug-25;August;2026;RS 10,8 4006,0 NL04 AX D2;10;4006,0;LL28 D2;Fancy;-;SSM;OE;Rotor;Routine;1;kanan;0,100;100,00;4,44;14,03;552;;85000;12,32;12,32;12,32;0,52;650;2030;2105;1,42;13,55;13,21;2159;9,39;1,2;11,86;9,42;9,42;9,42;0;13;41;5;54;18;739;25;221;483;728;5,43;1,32;1;1;18,66;;;6;102;202;302;401;501;601;701;I1;;;;
;07-Aug-25;August;2025;E 7s 4600,0 LL28 D2;7;4600,0;LL28 D2;Fancy;-;SSM;OE;Rotor;Routine;1;Kanan;0,100;70,00;4,70;12,43;489;;95000;16,27;16,27;16,27;0,77;650;1966;2059;2,27;17,90;12,93;2852;9,84;1,0;12,42;2,06;2,06;2,06;0;16;82;6;99;23;1142;58;274;918;1249;5,09;1,31;1;1;20,53;;;1;103;202;302;401;501;601;701;I1;;;;
;07-Aug-25;August;2025;E 7s 4600,0 LL28 D2;7;4600,0;LL28 D2;Fancy;-;SSM;RS;Rotor;Routine;1;kanan;0,100;70,00;5,56;14,72;580;;100065;30,40;30,40;30,40;0,99;650;1738;1854;2,50;33,45;11,47;5329;11,98;0,9;15,21;2,78;2,78;2,78;34;117;1329;211;1479;362;4025;569;871;6123;7563;4,92;1,35;1;1;25,13;;;1;103;202;302;401;502;601;701;I1;;;;
;07-Aug-25;August;2025;E 7s 4600,0 LL28 D2;7;4600,0;LL28 D2;Fancy;-;SSM;RS;Rotor;Routine;1;kanan;0,100;70,00;3,65;9,67;381;;70000;9,80;9,80;9,80;0,49;650;2199;2233;1,48;10,78;14,18;1718;9,12;1,0;11,54;1,88;1,88;1,88;0;10;24;1;34;11;554;9;754;322;1084;7,60;1,78;2;2;18,14;;;1;103;202;302;401;502;601;701;I1;;;;
