;PT. Triputra Textile (Spinning Division);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;19/Feb/26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Count Wise Summary of Monthly Production Review Februari-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Date;Month;Unit Pabrik;Yarn Jenis Benang;Count (Ne);Slub Code;Lot Benang;SPK;Warna Cone / Cheese;Berat Cone / Cheese (Kgs);TM;TPI;Speed;Jumlah Spindel / Rotor Terpasang;Aktual Produksi;;;;100% Produksi (Bales);Target Produksi on Target OPR (Bales);Keuntungan atau Kerugian Efisiensi Bales on Target OPS / OPR;Target OPS / OPR;OPS/ OPR Aktual;OPS / OPR Worked;Produksi Effisiensi %;Effisiensi % Kerja;Penghentian (Minutes);;;;;;Spindles / Rotors Bekerja;Spindle / Rotors Effisiensi;Kerugian Produksi (Bales) Karena;;;;;;Harga Benang per Bale;;;
;;;;;;;;;;;;;;;Jumlah Cones / Cheese;Produksi (Kgs);Produksi (Lbs);Aktual Produksi (Bales);;;;;;;;;Power / Electric (min);Count Mengubah (min);Creel Mengubah (min);Preventive Mtc/Rotor/Ring Change Stoppage (min);Creel Short Stoppage (min);Total Penghentian  (min);;;Power Penghentian;Count Mengubah;Creel Mengubah;Preventive MTC./Rotor / Ring Cup Change;Creel (Sliver/Roving) Short;Kerugian Total;;;;
;30;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;1;Jan-26;RING;;13,26;;;;;;3,95;14,49;9388;5664;1900;5386,50;11875,08;29,69;33;30;2;11,17;11,18;12,02;90,14%;96,86%; 	-   ; 	-   ; 	-   ; 	-   ;-; 	100 ;5271;93,06%; 	-   ; 	-   ; 	-   ; 	-   ; 	(2,28); 	(2,28);-;;;
;2;Jan-26;RING;;13,10;;;;;;3,95;14,49;9388;5664;1820;5159,70;11375,07;28,44;33;30;2;11,31;10,71;12,08;85,27%;96,19%; 	-   ; 	-   ; 	-   ; 	-   ;-; 	163 ;5021;88,65%; 	-   ; 	-   ; 	-   ; 	-   ; 	(3,42); 	(3,42);-;;;
;3;Jan-26;RING;;13,10;;;;;;3,95;14,49;9388;5664;1820;5159,70;11375,07;28,44;33;30;2;11,31;10,71;12,08;85,27%;96,19%; 	-   ; 	-   ; 	-   ; 	-   ;-; 	163 ;5021;88,65%; 	-   ; 	-   ; 	-   ; 	-   ; 	(3,42); 	(3,42);-;;;
;4;Jan-26;RING;;12,27;;;;;;3,95;14,49;9388;5664;1500;4252,50;9375,06;23,44;36;32;2;12,07;8,83;12,66;65,82%;94,42%; 	-   ; 	-   ; 	-   ; 	190 ;-; 	436 ;3948;69,70%; 	-   ; 	-   ; 	-   ; 	(2,64); 	(5,16); 	(7,80);-;;;
;5;Jan-26;RING;;13,52;;;;;;4,04;14,38;9433;5664;1536;4354,56;9600,06;24,00;33;29;1;11,10;9,04;11,63;73,31%;94,30%; 	-   ; 	92 ; 	-   ; 	-   ;-; 	320 ;4404;77,75%; 	-   ; 	(2,87); 	-   ; 	-   ; 	(4,62); 	(7,48);-;;;
;6;Jan-26;RING;;13,30;;;;;;4,00;14,65;9388;5664;1840;5216,40;11500,08;28,75;32;29;2;11,01;10,83;11,88;88,52%;97,09%; 	-   ; 	-   ; 	-   ; 	51 ;-; 	127 ;5164;91,17%; 	-   ; 	-   ; 	-   ; 	(1,07); 	(1,61); 	(2,68);-;;;
;7;Jan-26;RING;;10,92;;;;;;4,02;13,89;9433;5664;1542;4371,57;9637,56;24,09;42;38;1;14,22;9,07;14,64;57,46%;92,66%; 	-   ; 	-   ; 	147 ; 	-   ;-; 	547 ;3512;62,01%; 	-   ; 	-   ; 	(6,03); 	-   ; 	(9,06); 	(15,09);-;;;
;8;Jan-26;RING;;9,42;;;;;;4,15;13,45;9249;5664;2400;6804,00;15000,10;37,50;49;44;3;16,70;14,12;17,66;76,15%;95,23%; 	-   ; 	-   ; 	-   ; 	-   ;-; 	289 ;4529;79,96%; 	-   ; 	-   ; 	-   ; 	-   ; 	(10,25); 	(10,25);-;;;
;9;Jan-26;RING;;9,45;;;;;;4,15;13,45;9249;5664;2200;6237,00;13750,09;34,38;49;44;3;16,63;12,95;17,81;70,08%;96,40%; 	-   ; 	-   ; 	-   ; 	156 ;-; 	393 ;4118;72,70%; 	-   ; 	-   ; 	-   ; 	(4,69); 	(8,71); 	(13,40);-;;;
